location_name,operated_by,website,phone,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,saturday,sunday,age_threshold,french_language_services,asl_interpretation,paid_parking,public_transit,additional_information,additional_information_fr,first_nations,free_parking,weeks_pregnant,general_population,holiday_hours,email,temporarily_closed
Lakeridge Health - Oshawa,Lakeridge Health,https://www.lakeridgehealth.on.ca/,,,Yes,Philip,Collected hospital contact info,,"Lakeridge Health, Oshawa hospital: 905-576-8711",,,,,,,,,,,,Yes,Philip,Collected hospital contact info,,"Lakeridge Health, Oshawa hospital: 905-576-8711",,,,,,,,,,,,8:00-16:00,0m,Yes,Yes,Yes,Yes,"Please complete the online registration form. Patients will be called or emailed with an appointment time. Yes there is a separate entrance leading into the Hospital, the clinic is located right near that entrance so no other population can access.  Parking is free for the first 30 minutes. We have interpretation services for most languages.  We also have swabbed patients in their cars if it is warranted.",,,,,,,,
Lakeridge Health - Ajax Pickering,Lakeridge Health,https://www.lakeridgehealth.on.ca/,,,Yes,Philip,Collected hospital contact info,,"Lakeridge Health, Ajax Pickering Hospital: 905-683-2320",,,,,,,,,,,,Yes,Philip,Collected hospital contact info,,"Lakeridge Health, Ajax Pickering Hospital: 905-683-2320",,,,,,,,,,,8:00-16:00,,18y,No,No,,Yes,Please complete the online registration form. Patients will be called or emailed with an appointment time. Separate building on hospital property.,,,Yes,,,,,
Kirkland and District Hospital,Kirkland Lake Hospital,,705-568-2127,Yes,No,Philip,"Drive-through centre, by appointment only",,,,,,,,,,,,,Yes,No,Philip,"Drive-through centre, by appointment only",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collingwood Health Centre,Georgian Bay Family Health Team and Collingwood General & Marine Hospital,www.gbfht.ca/cac,705-444-5885,Yes,No,Philip,Sent email,info@gbfht.ca,Collingwood Health Centre: 705-444-5885,,,,,,,,,,,Yes,No,Philip,Sent email,info@gbfht.ca,Collingwood Health Centre: 705-444-5885,,,,,,,,,,,,,0m,No,No,Yes,Yes,"Located in the tent in the parking lot of the Family Health Team, next to the hospital. There is no parking fee if client arrives at their appointment time and is directed through the drive-through. Please call to schedule an appointment","Situé dans la tente dans le stationnement de l’Équipe de Santé Familiale, à côté de l’hôpital.",,,,,,,
Midland Assessment Centre,Georgian Bay General Hospital,http://gbgh.on.ca/covid-19-self-assessment-tool/,705-529-1025,,No,Philip,Collected hospital contact info,,"Georgian Bay General Hospital, Midland site: 705-526-1300",,,,,,,,,,,,No,Philip,Collected hospital contact info,,"Georgian Bay General Hospital, Midland site: 705-526-1300",,,,,,,,,,,8:00-20:00,,0m,Yes,No,,Yes,Please call to schedule an appointment after completing the self-assessment tool on the hospital's website. Follow signs on windows and directional signs to the entrance. Clients will see a greeter at the door when they pull up into the parking lot.,,Beausoleil First Nation,Yes,,,,,
Headwaters Health Care Centre,Headwaters Health Care Centre,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,519-822-2715 ext. 7006,Yes,No,Philip,Sent email through contact form,,,,,,,,,,,,,Yes,No,Philip,Sent email through contact form,,,,,,,,,,,,,9:00-16:00,9:00-16:00,2y,No,No,Yes,Yes,Located in the driveway beside the health care centre.,Situé dans l’entrée à côté du le centre de soins de santé.,,,,,,,
Markham Stouffville Hospital,Markham Stouffville Hospital,https://www.msh.on.ca/about-us/covid-19-information-page#assessment,,,No,Philip,Covered Big IDeA features + queuing,myhospital@msh.on.ca,Markham site: 905-472-7373,,No,Yes,Tent,Accessible portable washrooms,Yes,Audio by phone,Yes,Yes,Yes,,No,Philip,Covered Big IDeA features + queuing,myhospital@msh.on.ca,Markham site: 905-472-7373,,No,Yes,Tent,Accessible portable washrooms,Yes,Audio by phone,Yes,Yes,Yes,9:00-19:00,9:00-19:00,0m,No,No,Yes,Yes,"Located in the trailer beside the main building. Park in lot 7 and follow signs across the road to the assessment centre. There are shaded areas to wait, hand sanitizing stations, and washrooms.",Situé dans la roulotte directement à côté du bâtiment principal.,,,,,,,
Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/covid19.aspx#,1-888-383-7009,,No,Philip,Marked inactive,,,,,,,,,,,,,,No,Philip,Marked inactive,,,,,,,,,,,,,,,0m,No,No,,No,,,Moose Deer Point and Wahta First Nations,Yes,,Yes,,,
Huntsville District Memorial Hospital,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/covid19.aspx#,1-888-383-7009,,No,Philip,Marked inactive,,,,,,,,,,,,,,No,Philip,Marked inactive,,,,,,,,,,,,,,,0m,No,No,,No,,,Moose Deer Point and Wahta First Nations,Yes,,Yes,,,
Muskoka COVID-19 Assessment Centre,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/muskoka-assessment-centre.aspx,,,No,Philip,Sent email,info@mahc.ca,,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Humber River Hospital Assessment Centre,Humber River Hospital,https://www.hrh.ca/covid-19/,416-747-6740,,Yes,Philip,"Got forwarded to centre manager, left a message","Claudette Moulton, patien representative at HRH: cmoulton@hrh.ca",Centre manager Denise Scott:  416 243 4122,,,,,,,,,,,,Yes,Philip,"Got forwarded to centre manager, left a message","Claudette Moulton, patien representative at HRH: cmoulton@hrh.ca",Centre manager Denise Scott:  416 243 4122,,,,,,,,,,,10:00-18:00,10:00-18:00,6m,No,No,,Yes,Use the west entrance only.,Les patients doivent uniquement utiliser l’entrée ouest.,,Yes,,,,,
Michael Garron Hospital - Emergency Department,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,Yes,Philip,Sent email,patient.relations@tehn.ca,Michael Garron Hospital patient relations line: 416-469-6096,,,,,,,,,,,,Yes,Philip,Sent email,patient.relations@tehn.ca,Michael Garron Hospital patient relations line: 416-469-6096,,,,,,,,,,,00:00-00:00,00:00-00:00,0m,Yes,Yes,Yes,Yes,Located in the Emergency Department off of Mortimer Avenue.,,,,,,,,
Michael Garron Hospital - Outpatient Clinic,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,Yes,Philip,Marked inactive,,,,,,,,,,,,,,Yes,Philip,Marked inactive,,,,,,,,,,,,,8:00-20:00,8:00-20:00,0m,No,No,Yes,Yes,"The entrance is located on the north side of the building off of Mortimer Avenue, west of the Emergency Department. It cannot be accessed from inside the hospital.","Situé dans l’aile D, au 1er étage de l’hôpital (accès direct par l’avenue Mortimer, à l'ouest du services des urgences).",,,,,,,
Market Place Temporary Assessment Centre,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,Yes,Philip,Marked inactive,,,,,,,,,,,,,,Yes,Philip,Marked inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Sinai Hospital,Mount Sinai Hospital,https://www.sinaihealth.ca/covid19/,416-586-4800 ext. 4924 or 4893,,Yes,Philip,Was told they couldn't answer questions??,upasana.saha@sinaihealth.ca,General inquiries: 416-461-8252,,,,,,,,,,,,Yes,Philip,Was told they couldn't answer questions??,upasana.saha@sinaihealth.ca,General inquiries: 416-461-8252,,,,,,,,,,,,,18y,No,No,Yes,Yes,"Located on the ground floor in the Henneck Gallery, close to the Emergency Department.","Le centre sera au rez-de-chaussée dans la galerie Henneck, près du service des urgences.",,,,,,,
North York General Hospital - Branson,North York General Hospital - Branson,https://nygh.on.ca/covid-19-updates,416-756-6000,,Yes,Philip,Covered Big IDeA features + queuing,patientexperience@nygh.on.ca,Branson Ambulatory Care Centre: 416-633-9420,,Yes,No,Yes,Partial: there is a wheelchair-accessible washroom in the asymptomatic testing area,Yes,Audio information by phone,"No ASL interpretation, yes assassistance navigating the centre",Yes,Yes,,Yes,Philip,Covered Big IDeA features + queuing,patientexperience@nygh.on.ca,Branson Ambulatory Care Centre: 416-633-9420,,Yes,No,Yes,Partial: there is a wheelchair-accessible washroom in the asymptomatic testing area,Yes,Audio information by phone,"No ASL interpretation, yes assassistance navigating the centre",Yes,Yes,8:00-19:00,8:00-19:00,0m,Yes,Yes,Yes,Yes,"Located at the north entrance, immediately off of Finch Avenue.","Situé à l’entrée nord, immédiatement en sortant de avenue Finch.",,,,,,,
North York General Hospital - Emergency Department,North York General Hospital,,,,Yes,Philip,Sent email,patientexperience@nygh.on.ca,General site: 416-756-6000,,,,,,,,,,,,Yes,Philip,Sent email,patientexperience@nygh.on.ca,General site: 416-756-6000,,,,,,,,,,,08:00-20:00,08:00-20:00,0m,Yes,Yes,Yes,Yes,Located next to the Emergency Department in the converted Ambulance Bay.,,,,,,,,
Scarborough Health Network - Birchmount,Scarborough Health Network - Birchmount,https://www.shn.ca/covid19-assess/,416-495-2601,,Yes,Philip,Sent email,covidassessmentcentre@shn.ca,Birchmount: 416-495-2400 ext. 5424,,,,,,,,,,,,Yes,Philip,Sent email,covidassessmentcentre@shn.ca,Birchmount: 416-495-2400 ext. 5424,,,,,,,,,,,9:00-17:00,9:00-17:00,6m,Yes,Yes,,Yes,"Testing is only at Birchmount and Centenary sites, not Scarborough General Hospital. Centre is next to the Emergency Department.","Le dépistage est offert uniquement aux emplacements de Birchmount et de Centenary, pas à l’Hôpital général de Scarborough.",,Yes,,,,,
Scarborough Health Network Centenary Site,Scarborough Health Network Centenary Site,https://www.shn.ca/covid19-assess/,416-495-2601,,Yes,Philip,Sent email,covidassessmentcentre@shn.ca,Centenary: 416-284-8131 ext. 4742,,,,,,,,,,,,Yes,Philip,Sent email,covidassessmentcentre@shn.ca,Centenary: 416-284-8131 ext. 4742,,,,,,,,,,,10:00-19:00,10:00-19:00,6m,Yes,Yes,,Yes,"Testing is only at Birchmount and Centenary sites, not Scarborough General Hospital. Centre is nexto to the Emergency Department.","Le dépistage est offert uniquement aux emplacements de Birchmount et de Centenary, pas à l’Hôpital général de Scarborough.",,Yes,,,,,
Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre,416-480-6100 ext 1629,,Yes,Philip,Covered Big IDeA features + queuing,questions@sunnybrook.ca,Sunnybrook Bayview Campus contact: 416-480-6100,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Philip,Covered Big IDeA features + queuing,questions@sunnybrook.ca,Sunnybrook Bayview Campus contact: 416-480-6100,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,12:00-17:00,12:00-17:00,16y,No,No,Yes,Yes,"Use the underground entrance only. The assessment centre can be accessed by the south driveway of Sunnybrook, past the Emergency department and located at U Wing.",Les patients doivent uniquement utiliser l’entrée souterraine.,,,,,,,
Toronto Western Hospital,UHN - Toronto Western Hospital,https://www.uhn.ca/Covid19,,,Yes,Philip,Covered Big IDeA features + queuing,patientrelations@uhn.ca,Toronto Western Hospital general inquiries line: 416 603 2581,,Yes,No,Yes -- Security guard assists people,Yes,Yes,No,No,"Not on site, but we are right beside TWH, where there is accessible parking.  There is also a drop off circle driveway within 50 feet of the entrance.","the TWH CAC is currently operated on a first come, first serve basis. There is often a line, which can be up to one hour. We do not offer accommodated access outside of the queue. If someone is unable to wait in line, they are to speak to the security guard, who will arrange to hold the next place in line, and the person can wait at the benches or elsewhere.",,Yes,Philip,Covered Big IDeA features + queuing,patientrelations@uhn.ca,Toronto Western Hospital general inquiries line: 416 603 2581,,Yes,No,Yes -- Security guard assists people,Yes,Yes,No,No,"Not on site, but we are right beside TWH, where there is accessible parking.  There is also a drop off circle driveway within 50 feet of the entrance.","the TWH CAC is currently operated on a first come, first serve basis. There is often a line, which can be up to one hour. We do not offer accommodated access outside of the queue. If someone is unable to wait in line, they are to speak to the security guard, who will arrange to hold the next place in line, and the person can wait at the benches or elsewhere.",12:00-19:30,12:00-19:30,1y,Yes,Yes,Yes,Yes,Located in the building on the north-east corner of Bathurst and Dundas.,Situé dans le bâtiment sur le coin nord-est de Bathurst et de Dundas.,,No,,,,,
St. Joseph's Health Centre,Unity - St. Joseph's Health Centre (SJHC),https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,416-530-6720,,Yes,Philip,Sent email through their contact form,https://unityhealth.to/contact/,"St. Joseph's: 416-530-6000,",,,,,,,,,,,,Yes,Philip,Sent email through their contact form,https://unityhealth.to/contact/,"St. Joseph's: 416-530-6000,",,,,,,,,,,,8:00-20:00,8:00-20:00,1y,No,No,,Yes,Located on the main floor of the Sunnyside Building (use the east entrance off of Sunnyside Avenue).,"Situé dans l’édifice Sunnyside, entrée est du rez-de-chaussée sur l’avenue Sunnyside.",,Yes,,,,,
St Michael's Hospital,Unity - St Michael's Hospital (SMH),https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,416-864-5800,,Yes,Philip,Sent email through their contact form,https://unityhealth.to/contact/,St. Michael’s: 416-360-4000,,,,,,,,,,,,Yes,Philip,Sent email through their contact form,https://unityhealth.to/contact/,St. Michael’s: 416-360-4000,,,,,,,,,,,12:00-18:00,12:00-18:00,6m,No,No,Yes,Yes,Located in the Li Ka Shing Knowledge Institute. Enter at the Shuter Street entrance near Bond Steet (north-east corner of the building).,"Situé au Li Ka Shing Knowledge Institute. L’entrée se fait la rue Shuter, près de la rue Bond (coin nord-est du bâtiment).",,,,,,,
Women's College Hospital,Women's College Hospital,https://www.womenscollegehospital.ca/patients-and-caregivers/coronavirus-(covid-19)-information-for-patients-and-visitors/,,,Yes,Philip,Sent email,info@wchospital.ca,"Assessment Centre information information line at: 416-800-1945, hospital switchboard: 416-323-6400",,,,,,,,,,,,Yes,Philip,Sent email,info@wchospital.ca,"Assessment Centre information information line at: 416-800-1945, hospital switchboard: 416-323-6400",,,,,,,,,,,9:00-17:00,9:00-17:00,0m,No,No,Yes,Yes,There are two separate entrances specifically for COVID testing. One is for walk-ins and one is for Fast Track testing for people who pre-register.,Veuillez utiliser l’entrée nord-est située sur la rue Grosvenor.,,,,,,,
Muskoka COVID-19 Assessment Centre,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/muskoka-assessment-centre.aspx,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,No,Philip,Sent email,info@mahc.ca,,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Orillia Soldiers' Memorial Hospital,Orillia Soldiers' Memorial Hospital,https://www.osmh.on.ca/covid-19/,705-325-2201,Yes,No,Philip,Sent email,administration@osmh.on.ca,,,,,,,,,,,,Yes,No,Philip,Sent email,administration@osmh.on.ca,,,,,,,,,,,,11:00-14:30,11:00-14:30,0m,No,No,,Yes,Located in the tent in the parking lot. People coming to the center should access Volunteer Drive off of Mississauga Street.,Situé dans la tente dans le stationnement.,Yes - Rama First Nation,Yes,,Yes,,,
Barrie Community Health Centre,Royal Victoria Regional Health Centre,https://www.rvh.on.ca/SitePages/coronavirus.aspx,,,No,Philip,Sent email,"Donna Danyluk, Communications Representative: danylukd@rvh.on.ca","Donna Danyluk, Communications Representative: 705-728-9090 Ext 41610",,,,,,,,,,,,No,Philip,Sent email,"Donna Danyluk, Communications Representative: danylukd@rvh.on.ca","Donna Danyluk, Communications Representative: 705-728-9090 Ext 41610",,,,,,,,,,,9:00-14:00,9:00-14:00,0m,No,No,,Yes,Located in the rear building behind the Huronia Urgent Care Clinic.,Situé dans le bâtiment arrière.,,Yes,,,,,
Stevenson Memorial Hospital,Stevenson Memorial Hospital,http://www.stevensonhospital.ca/news/index.html?id=265,705-435-6281,Yes,No,Philip,Sent email,communications@smhosp.on.ca,,,,,,,,,,,,Yes,No,Philip,Sent email,communications@smhosp.on.ca,,,,,,,,,,,,,,2y,No,No,Yes,No,Drive-through centre located in the back parking lot.,Situé dans le stationnement.,,,,,,,
Almonte General Hospital,Almonte General Hospital,http://www.almontegeneral.com/assessmentcentre,613-325-1208,Yes,No,Philip,Sent email,info@agh-fvm.com,,,,,,,,,,,,Yes,No,Philip,Sent email,info@agh-fvm.com,,,,,,,,,,,,8:00-18:00,8:00-18:00,2y,No,No,,No,Stay in your car.,Le centre est au coin de la rue Spring et de la rue State dans le bâtiment en briques derrière le service des urgences de l’Hôpital général d’Almonte.,,Yes,,,,,
Brockville General Hospital,Brockville General Hospital,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,613-704-1441,,No,Philip,Sent email through contact form,https://www.brockvillegeneralhospital.ca/Modules/contact/search.aspx?s=c9iBl64zWIM6BBwLPlUspoPlQeQuAleQuAl&_mid_=19201,,,,,,,,,,,,,No,Philip,Sent email through contact form,https://www.brockvillegeneralhospital.ca/Modules/contact/search.aspx?s=c9iBl64zWIM6BBwLPlUspoPlQeQuAleQuAl&_mid_=19201,,,,,,,,,,,,10:00-14:30,10:00-14:30,0m,No,No,,,,,,Yes,,,10:00-15:30,,
Brewer Park Arena,The Ottawa Hospital and CHEO,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx,,,No,Philip,Sent email through contact form,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,Should we track care centres as well as assessment centres?,,,,,,,,,,,No,Philip,Sent email through contact form,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,Should we track care centres as well as assessment centres?,,,,,,,,,,9:00-15:30,9:00-15:30,6m,Yes,No,,Yes,Follow the signage for parking. Enter from Bronson Avenue.,,,Yes,,,,,
Cornwall COVID-19 Assessment Centre,Cornwall Community Hospital,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,613-935-7762,,No,Philip,,,,,,,,,,,,,,,No,Philip,,,,,,,,,,,,,,,,2y,Yes,No,,Yes,"Park in a designated area in the Emergency Lot, arrive at the exact time of your appointment (not earlier), bring only a healthcard and mask, parking is free, wait outside and someone will greet you at the door.",,,Yes,,,,,
Akausivik Inuit Family Health Team - COVID-19 Assessment Centre,Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),https://eohu.ca/en/covid-19-novel-coronavirus,613-740-0999,,No,Philip,Sent email through contact form,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,,,,,,,,,,,,No,Philip,Sent email through contact form,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,,,,,,,,,,,,,0m,,,,,,,Inuit,,,,,generalinfo@aifht.ca,
Haliburton Highlands Health Services,Haliburton Highlands Health Services,https://www.haliburtoncares.ca/,"705-457-1212, ext. 6",,No,Philip,,,,,,,,,,,,,,,No,Philip,,,,,,,,,,,,,,,,2y,No,No,,Yes,"Located in the parking lot of the Haliburton Family Medical Centre. Enter from Haliburton County Road 21, on the roadway beside the high school. Patients under 2 years will be deferred to the Emergency dDepartment. Patients between 2 and 18 will be reviewed with the assessment centre physician before booking an appointment.","Situé dans le stationnement du Haliburton Family Medical Centre. Entrez à partir de la route de comté 21 à Haliburton, sur la voie d’accès derrière l’école secondaire.",,Yes,,,,,
Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,No,Phillip,,,,,,,,,,,,,,,No,Phillip,,,,,,,,,,,,,,,,2y,Yes,Yes,,No,Vulnerable clients and clients with cancer can get tested before opening times.,,,Yes,,,,,
Casselman COVID-19 Assessment Centre,Eastern Ontario Health Unit - Casselman office,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,1y,Yes,No,,No,,,,Yes,,,Closed,,
Rockland COVID-19 Assessment Centre,Clarence-Rockland Family Health Team Office,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-15:00,,2y,,,,,,,,,,,,,
Hôpital Montfort - Heron Location,Hôpital Montfort,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,613-746-4621,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2y,Yes,No,,Yes,,,,Yes,,,Closed,,
Kingston - Leon's Centre,Kingston Health Sciences Centre,https://www.kflaph.ca/Modules/News/index.aspx?newsId=ac53feb2-35a4-4a09-bd86-dd7c62755eaa,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-16:00,9:00-16:00,6m,Yes,No,Yes,Yes,Enter through Gate 2 and look for bright green signs.,,,,,,,,
Lennox and Addington County General Hospital,Lennox and Addington County General Hospital,http://web.lacgh.napanee.on.ca/en/newsroom?newsid=84,613-354-8254,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-15:00,9:00-15:00,0m,No,No,,Yes,Appointments are preferred but walk-ins are accepted. Drive-through only.,,,Yes,,,,,
