location_id,Assessment centre,operated by,latitude,phu_id,PHU,Phone number,Website,friday,accessible,saturday,email
20,"William Osler Health System - South Fletcher's Sportsplex, Brampton",William Osler Health System,43.652811,6,Peel Public Health,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-18:00,Yes,8:00-18:00,
21,Almonte General Hospital,Almonte General Hospital,45.228961,7,"Leeds, Grenville and Lanark District Health Unit",613-325-1208,http://www.almontegeneral.com/assessmentcentre,8:00-18:00,Yes,8:00-18:00,
22,Brockville General Hospital,Brockville General Hospital,44.610024,7,"Leeds, Grenville and Lanark District Health Unit",613-704-1441,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,10:00-17:30,Yes,10:00-14:30,
23,Brewer Park Arena,The Ottawa Hospital and CHEO,45.389239,8,Ottawa Public Health,,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx,9:00-15:30,Yes,9:00-15:30,
24,Cornwall COVID-19 Assessment Centre,Cornwall Community Hospital,45.030101,9,Eastern Ontario Health Unit,613-935-7762,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,8:30-15:30,Yes,,
25,Akausivik Inuit Family Health Team - COVID-19 Assessment Centre,Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),45.431716,8,Ottawa Public Health,613-740-0999,https://eohu.ca/en/covid-19-novel-coronavirus,9:00-17:00,,,generalinfo@aifht.ca
26,Haliburton Highlands Health Services,Haliburton Highlands Health Services,45.039054,10,"Haliburton, Kawartha, Pine Ridge District Health Unit","705-457-1212, ext. 6",https://www.haliburtoncares.ca/,9:00-13:00,Yes,,
27,Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital,45.603834,9,Eastern Ontario Health Unit,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-17:00,Yes,,
28,Casselman COVID-19 Assessment Centre,Eastern Ontario Health Unit - Casselman office,45.321488,9,Eastern Ontario Health Unit,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-15:00,Yes,,
29,Rockland COVID-19 Assessment Centre,Clarence-Rockland Family Health Team Office,45.544511,9,Eastern Ontario Health Unit,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-15:00,,9:00-15:00,
30,Hôpital Montfort - Heron Location,Hôpital Montfort,45.38042,8,Ottawa Public Health,613-746-4621,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,9:00-15:30,Yes,,
31,Kingston - Leon's Centre,Kingston Health Sciences Centre,44.233467,11,"Kingston, Frontenac and Lennox & Addington Health Unit",,https://www.kflaph.ca/Modules/News/index.aspx?newsId=ac53feb2-35a4-4a09-bd86-dd7c62755eaa,9:00-16:00,Yes,9:00-16:00,
32,Lakeridge Health - Oshawa,Lakeridge Health,43.905529,12,Durham Region Health Department,,https://www.lakeridgehealth.on.ca/,8:00-16:00,Yes,,
33,Lakeridge Health - Ajax Pickering,Lakeridge Health,43.836799,12,Durham Region Health Department,,https://www.lakeridgehealth.on.ca/,8:00-18:00,Yes,8:00-16:00,
34,Lennox and Addington County General Hospital,Lennox and Addington County General Hospital,44.239028,11,"Kingston, Frontenac and Lennox & Addington Health Unit",613-354-8254,http://web.lacgh.napanee.on.ca/en/newsroom?newsid=84,9:00-15:00,Yes,9:00-15:00,
35,Akwesasne COVID-19 Assessment Centre,Mohawk Council of Akwesasne Department of Health,44.999832,9,Eastern Ontario Health Unit,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,8:00-16:00,Yes,,
36,North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,45.055092,13,Hastings and Prince Edward Counties Health Unit,613-332-2825 ext 6222,,10:00-18:00,Yes,,
37,Perth and Smiths Falls District Hospital - Smiths Falls Site,Perth and Smiths Falls District Hospital,44.907454,7,"Leeds, Grenville and Lanark District Health Unit",613-283-2330 ext. 1401,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,8:00-18:00,,10:00-16:00,
38,Prince Edward County Community Centre,Prince Edward County Covid-19 Assessment Centre,44.008797,13,Hastings and Prince Edward Counties Health Unit,613-813-6864,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,Yes,,
39,Queensway Carleton Hospital - D. Aubrey Moodie School,Queensway Carleton Hospital,45.310814,8,Ottawa Public Health,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,9:00-15:30,,,
40,Quinte Healthcare - Quinte Secondary School,Quinte Healthcare,44.17531,13,Hastings and Prince Edward Counties Health Unit,613-961-5544,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,Yes,9:00-17:00,
41,Quinte West COVID-19 Assessment Centre,Quinte Healthcare,44.102899,13,Hastings and Prince Edward Counties Health Unit,613-961-5544,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,Yes,9:00-17:00,
42,Cobden Arena,Arnprior Regional Health,45.623129,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,9:00-11:00,Yes,,
43,Civic Centre,Arnprior Regional Health,45.894435,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,9:00-11:00,,,
44,Pembroke Assessment Centre,Arnprior Regional Health,45.800448,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,,,,
45,Deep River Arena,Arnprior Regional Health,46.095052,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,9:00-11:00,,,
46,Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,45.42557,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,,,,
47,Eganville Community Arena,Arnprior Regional Health,45.541852,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,14:00-16:00,,,
48,Ma-te-way Park,Arnprior Regional Health,45.465465,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,,,,
49,Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,45.486426,14,Renfrew County and District Health Unit,1-844-727-6404,https://rcvtac.ca/,14:00-16:00,,,
50,RMH COVID-19 Assessment Centre,Ross Memorial Hospital,44.352402,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",705-328-6217,https://www.rmh.org/covid-19,9:30-17:30,Yes,,
51,Trent Hills COVID19 Assessment Centre,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,44.30277,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",705-395-1801,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,9:00-17:00,Yes,,
52,Winchester COVID-19 Assessment Centre,Lions Club Hall,45.092745,9,Eastern Ontario Health Unit,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,12:00-18:00,,,
53,Kinsmen Civic Centre,Peterborough Public Health,44.293856,15,Peterborough Public Health,705-743-1000,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/#tested,10:00-17:30,Yes,,
54,COVID-19 Assessment Centre at PRHC,Peterborough Regional Health Centre,44.300025,15,Peterborough Public Health,705-876-5086,https://www.prhc.on.ca/articles/default-category/207/covid-19-assessment-centre-at-prhc-now-available-by-calling-directly,8:00-16:00,No,8:00-16:00,
55,Northumberland Hills Hospital,Northumberland Hills Hospital,43.976426,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",905-377-7783,,8:00-16:00,Yes,8:00-16:00,
56,Atikokan Family Health Team,Atikokan Family Health Team,48.753128,16,Northwestern Health Unit,807-597-8781 ext 0,https://atikokanfht.com/,9:00-16:00,Yes,,
57,Hearst COVID-19 Assessment Centre,Nord-Aski Family Health Team,49.68659,17,Porcupine Health Unit,705-362-5544,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,Yes,,
58,Chapleau Health Services,Chapleau Family Health Team,47.841198,18,Sudbury and District Health Unit,705-864-2568,https://www.sschs.ca/general/home.html,9:00-13:00,Yes,,
59,NEOMO Medical,NEOMO Medical,46.473037,18,Sudbury and District Health Unit,705-671-7373,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,8:00-16:00,Yes,8:00-16:00,
60,Primacy Medical Centre,Primacy Medical Centre,46.521729,18,Sudbury and District Health Unit,705-671-7373,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,11:00-19:00,Yes,11:00-19:00,
61,Health Sciences North - HSNRI Assessment Centre,Health Sciences North,46.464346,18,Sudbury and District Health Unit,705-671-7373,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,9:00-17:00,Yes,9:00-17:00,
62,Dingwall Medical Clinic Building,Dingwall Medical Clinic Building,49.769556,16,Northwestern Health Unit,1-807-223-3737,http://www.drhc.on.ca/dryden-regional-health-centre-opens/,8:00-12:00&12:30-16:00,Yes,,assess@drhc.on.ca.
63,Elliot Lake Family Health Team,Elliot Lake Family Health Team,46.38584,18,Sudbury and District Health Unit,705-461-8882,http://www.elfht.com/,8:00-16:00,,,
64,Englehart District Hospital,Englehart District Hospital,47.822706,1,Timiskaming Health Unit,705-568-2127,http://www.timiskaminghu.com/90484/covid-19,9:00-13:00,Yes,,
65,Espanola & Area COVID Mobile Assessment Centre,Espanola Regional Hospital and Health Centre,46.248923,18,Sudbury and District Health Unit,705-869-1420 ext. 4500,http://www.espanolaregionalhospital.ca/covid-19,8:00-16:00,Yes,,
66,Geraldton District Hospital / Greenstone Family Health Team Northern Horizon Health Centre,Geraldton District Hospital,49.723382,19,Thunder Bay District Health Unit,807-854-0224,http://www.geraldtondh.com/hospital-triage-area---covid-19,8:00-16:00,Yes,,
67,Hornepayne Community Hospital,Hornepayne Community Hospital,49.212129,17,Porcupine Health Unit,807-868-2442,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,9:30-11:30&1:30-15:30,,,
68,Michipicoten Memorial Community Centre,Lady Dunn Health Centre,47.987685,20,Algoma Public Health Unit,705-856-2244 ext. 244,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:30-16:30,,,
69,Lake of the Woods District Hospital,Lake of the Woods District Hospital,49.768091,16,Northwestern Health Unit,1-807-468-9861 ext 2483,http://www.lwdh.on.ca/,8:00-12:00,Yes,,
70,Community Health Services Building,LaVerendrye General Hospital and  Riverside Health Care,48.607046,16,Northwestern Health Unit,1-807-274-3261 ext 4913,https://www.riversidehealthcare.ca/,8:00-16:00,Yes,As needed,
71,Manitoulin Health Centre,Manitoulin Health Centre,45.979114,18,Sudbury and District Health Unit,705-368-2300,http://www.mhc.on.ca/covid-19,13:00-17:00,Yes,13:00-17:00,
72,Manitoulin Health Centre,Manitoulin Health Centre,45.738205,18,Sudbury and District Health Unit,705-368-2300,http://www.mhc.on.ca/covid-19,13:00-17:00,Yes,13:00-17:00,
73,Mattawa Hospital,Mattawa Hospital,46.311018,21,North Bay Parry Sound District Health Unit,705-744-5511 ext 0,https://www.mattawahealth.ca/News/mattawa-assessment-centre,8:00-12:00,Yes,,
74,Anson General Hospital site,MICs Group - Anson General Hospital site,48.769108,17,Porcupine Health Unit,1-888-962-8718,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,,,
75,The Lady Minto Hospital/Boy Scout Hall,MICs Group - The Lady Minto Hospital/Boy Scout Hall,49.071067,17,Porcupine Health Unit,1-888-962-8718,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,,,
76,Nipigon District Memorial Hospital,Nipigon District Memorial Hospital,49.015611,19,Thunder Bay District Health Unit,807-887-5252,https://www.tbdhu.com/coronavirus,9:00-15:00,,,
77,North Bay Regional Health Centre,North Bay Regional Health Centre,46.334984,21,North Bay Parry Sound District Health Unit,705-474-8600 ext 4110,,9:00-17:00,Yes,9:00-17:00,
78,North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),48.718573,19,Thunder Bay District Health Unit,807-625-5900 or 1-888-294-6630,https://www.tbdhu.com/coronavirus,14:00-16:00,Yes,,
79,North Shore Health Network - Blind River,North Shore Health Network - Blind River,46.187422,20,Algoma Public Health Unit,705-356-2265 ext. 2661,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-18:00,Yes,8:00-18:00,
80,North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,46.263058,20,Algoma Public Health Unit,705-356-2265 ext. 2662,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-16:00,Yes,,
81,Rainy River Health Centre,Riverside Health Care,48.607083,16,Northwestern Health Unit,1-807-274-3261 ext. 4913,https://www.riversidehealthcare.ca/,13:00-15:00,Yes,13:00-15:00,
82,Red Lake Guardian Pharmacy,Red Lake Hospital,51.013295,16,Northwestern Health Unit,1-807-727-7035,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,9:00-14:00,Yes,,
83,Santé Manitouwadge Health,Santé Manitouwadge Health,49.127701,19,Thunder Bay District Health Unit,807-826-3251 ext 221,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,8:00-19:00,Yes,8:00-19:00,
84,Sault Area Hospital / Kal Tire,Sault Area Hospital,46.547984,20,Algoma Public Health Unit,705-759-3434 ext 7152,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-20:00,Yes,8:00-20:00,
85,Sensenbrenner Hospital / Le Centre des Loisirs,Sensenbrenner Hospital,49.419325,17,Porcupine Health Unit,705-367-4613,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,9:00-12:00,Yes,,
86,Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,50.106023,16,Northwestern Health Unit,1-807-737-5880,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,9:00-17:00,Yes,,
87,Smooth Rock Falls Hospital,Smooth Rock Falls Hospital,49.272619,17,Porcupine Health Unit,705-338-2788,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,Yes,,
88,Superior North EMS Community Paramedicine Program,Superior North EMS,48.444634,19,Thunder Bay District Health Unit,807-935-8100,https://www.tbdhu.com/coronavirus,7:00-19:00,Yes,7:00-19:00,
89,Temiskaming Hospital,Temiskaming Hospital,47.495213,1,Timiskaming Health Unit,705-648-1844,,10:00-12:00&13:00-16:00,Yes,,
90,Thunder Bay Assessment Centre,Thunder Bay Regional Health Sciences Centre,48.424784,19,Thunder Bay District Health Unit,807-935-8100,https://www.tbdhu.com/coronavirus,8:00-20:00,Yes,8:00-20:00,
91,Timmins COVID-19 Assessment Centre,Timmins and District Hospital,48.486008,17,Porcupine Health Unit,705-267-1993,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,8:30-12:00,,8:30-12:00,
92,"Weeneebayko General Hospital, Moose Factory",Weeneebayko Area Health Authority,51.25027,17,Porcupine Health Unit,1-877-658-9242,https://www.waha.ca/covid-19/,8:00-16:00,Yes,,
93,Fort Albany Hospital,Weeneebayko Area Health Authority,52.206719,17,Porcupine Health Unit,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,,,
94,Attawapiskat Hospital,Weeneebayko Area Health Authority,52.922613,17,Porcupine Health Unit,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,,,
95,Moosonee Health Centre,Weeneebayko Area Health Authority,51.271219,17,Porcupine Health Unit,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,,,
96,Kashechewan Health Services,Weeneebayko Area Health Authority,0,17,Porcupine Health Unit,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,,,
97,Peawanuck Nursing Station,Weeneebayko Area Health Authority,0,17,Porcupine Health Unit,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,,,
98,West Nipissing General Hospital,West Nipissing General Hospital,46.367086,21,North Bay Parry Sound District Health Unit,705-580-2186,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,12:00-16:00,,,
99,West Parry Sound Health Centre,West Parry Sound Health Centre,45.35937,21,North Bay Parry Sound District Health Unit,705-746-4540 ext 5030,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,8:00-16:00,Yes,8:00-16:00,
100,"North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ",48.780226,19,Thunder Bay District Health Unit,807-825-3235,,,,,
101,Humber River Hospital Assessment Centre,Humber River Hospital,43.754813,22,Toronto Public Health,416-747-6740,https://www.hrh.ca/covid-19/,10:00-18:00,Yes,10:00-18:00,
102,Michael Garron Hospital - Emergency Department,Michael Garron Hospital,43.68991,22,Toronto Public Health,416-469-6858,https://www.tehn.ca/programs-services/covid-19-assessment-centre,00:00-00:00,Yes,00:00-00:00,
103,Michael Garron Hospital - Outpatient Clinic,Michael Garron Hospital,43.68991,22,Toronto Public Health,416-469-6858,https://www.tehn.ca/programs-services/covid-19-assessment-centre,8:00-20:00,Yes,8:00-20:00,
104,Market Place Temporary Assessment Centre,Michael Garron Hospital,43.695869,5,York Region Public Health Services,416-469-6858,https://www.tehn.ca/programs-services/covid-19-assessment-centre,12:00-20:00,,,
105,Mount Sinai Hospital,Mount Sinai Hospital,43.657575,22,Toronto Public Health,416-586-4800 ext. 4924 or 4893,https://www.sinaihealth.ca/covid19/,8:00-12:00,Yes,,
106,North York General Hospital - Branson,North York General Hospital - Branson,43.772477,22,Toronto Public Health,416-756-6000,https://nygh.on.ca/covid-19-updates,8:00-19:00,Yes,8:00-19:00,
107,North York General Hospital - Emergency Department,North York General Hospital,43.769147,22,Toronto Public Health,,,08:00-20:00,Yes,08:00-20:00,
108,Scarborough Health Network - Birchmount,Scarborough Health Network - Birchmount,43.801819,22,Toronto Public Health,416-495-2601,https://www.shn.ca/covid19-assess/,9:00-17:00,Yes,9:00-17:00,
109,Scarborough Health Network Centenary Site,Scarborough Health Network Centenary Site,43.780444,22,Toronto Public Health,416-495-2601,https://www.shn.ca/covid19-assess/,10:00-19:00,Yes,10:00-19:00,
110,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,43.721782,22,Toronto Public Health,,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre,12:00-19:30,No,12:00-17:00,
111,Toronto Western Hospital,UHN - Toronto Western Hospital,43.652594,22,Toronto Public Health,,https://www.uhn.ca/Covid19,12:00-19:30,Yes,12:00-19:30,
112,St. Joseph's Health Centre,Unity - St. Joseph's Health Centre (SJHC),43.640709,22,Toronto Public Health,416-530-6720,https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,8:00-20:00,Yes,8:00-20:00,
113,St Michael's Hospital,Unity - St Michael's Hospital (SMH),43.654721,22,Toronto Public Health,416-864-5800,https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,8:30-18:00,Yes,12:00-18:00,
114,Women's College Hospital,Women's College Hospital,43.661634,22,Toronto Public Health,,https://www.womenscollegehospital.ca/patients-and-caregivers/coronavirus-(covid-19)-information-for-patients-and-visitors/,9:00-17:00,Yes,9:00-17:00,
115,Twin Bridges Nurse Practitioner Clinic,Bluewater Health Sarnia,42.968947,23,Lambton Health Unit,226-776-9030,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,9:00-14:00,,,
116,Brant Community Healthcare System,Brant Community Healthcare System,43.152517,24,Brant County Health Unit,519-751-5818,,8:00-16:00,Yes,8:00-16:00,
117,Cambridge Assessment Centre,Cambridge Memorial Hospital,43.377891,25,"Region of Waterloo, Public Health",519-621-2333 ext 2689,,8:30-20:30,No,8:30-16:30,cmhcovidtesting@cmh.org
118,Chatham-Kent Health Alliance,Chatham-Kent Health Alliance,42.406531,26,Chatham-Kent Health Unit,519-352-6400 ext. 6548,,9:00-16:20,,9:00-16:20,
119,Erie Shores Healthcare,Erie Shores Healthcare,42.048807,27,Windsor-Essex County Health Unit,519-326-2373 ext. 4263,,8:00-18:00,Yes,8:00-18:00,
120,Goderich Columbus Banquet Hall,"Maitland Valley Family Health Team, Alexandra Marine and General Hospital, Huron Perth Public Health",43.730283,28,Huron Perth Health Unit,519 524 6060 ext. 263,https://www.hpph.ca/en/news/coronavirus-covid19-update.aspx#Testing-tracing-and-results-for-COVID-19,10:00-16:00,Yes,,
121,Grand River Hospital COVID-19 Testing Centre,Grand River Hospital,43.456239,25,"Region of Waterloo, Public Health",519-749-4300 ext. 6824,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,7:30-18:30,,7:30-18:30,
122,Grand River Hospital - Drive Thru COVID-19 Assessment Center,Grand River Hospital - Drive Thru COVID-19 Assessment Center,43.451987,25,"Region of Waterloo, Public Health",,,7:30-17:30,Yes,7:30-17:30,
123,Grey Bruce Health Services - Owen Sound,Grey Bruce Health Services - Owen Sound,44.567422,29,Grey Bruce Health Unit,519-378-1466,https://www.gbhs.on.ca/covid-19/,12:00-20:00,Yes,,
124,Guelph General Hospital / Victoria Road Recreation Centre,Guelph General Hospital,43.563486,4,Wellington-Dufferin-Guelph Health Unit,,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,8:00-20:00,,9:00-16:00,
125,Dave Andreychuk Mountain Arena Assessment Centre,Hamilton Family Health Team,43.22559,30,Hamilton Public Health Services,905-974-9848,https://www.hamilton.ca/coronavirus/assessment-centres,10:00-16:00,Yes,10:00-16:00,
126,Hamilton Health Sciences,Hamilton Health Sciences,43.26044,30,Hamilton Public Health Services,905-974-9848,https://www.hamilton.ca/coronavirus/assessment-centres,11:00-17:00,,9:00-17:00,
127,Hanover and District Hospital,Hanover and District Hospital,44.141506,29,Grey Bruce Health Unit,,https://www.sbghc.on.ca/coronavirus/assessment-centres,12:30-16:30,Yes,,
128,Joseph Brant Hospital,Joseph Brant Hospital,43.317101,3,Halton Region Health Department,"905-632-3737, ext. 6550",https://www.halton.ca/For-Residents/New-Coronavirus#03,8:00-19:00,Yes,8:00-19:00,
129,Listowel Memorial Hospital Testing Centre,Listowel Memorial Hospital,43.7336,28,Huron Perth Health Unit,519-292-2133,https://lwha.ca/covid-19-up-to-date-information-you-need-to-know/,14:00-19:00,Yes,14:00-19:00,
130,Oakridge Arena,London Health Sciences / St. Joseph's Healthcare London / Middlesex PHU,42.975279,31,Middlesex-London Health Unit,,https://www.healthunit.com/covid-19-concerns,9:00-17:00,,,
131,Rural Wellington Assessment Centre / Mount Forest & District Sports Complex,Mount Forest Family Health Team,43.973529,4,Wellington-Dufferin-Guelph Health Unit,519-323-0255 ext. 5082,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,10:00-18:00,Yes,,
132,Niagara Health Greater Niagara General Site,Niagara Health Greater Niagara General Site,43.094159,32,Niagara Region Public Health Department,905-378-4647 ext 42819,https://www.niagarahealth.on.ca/site/news/2020/03/24/niagara-healths-covid-19-assessment-centres,9:00-17:00,,9:00-17:00,
