Assessment centre,operated by,Website,Phone number,Marked accessible by ODS,Contact email,Contact phone,friday,location_id,latitude
Deep River Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
Eganville Community Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
Ma-te-way Park,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
Lindsay Fairgrounds,Ross Memorial Hospital,https://www.rmh.org/covid-19,705-328-6217,Yes,,,,,
Trent Hills COVID19 Assessment Centre,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,705-395-1801,,,,,,
Winchester COVID-19 Assessment Centre,Lions Club Hall,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,,,,,
Kinsmen Civic Centre,Peterborough Public Health,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/#tested,705-743-1000,Yes,,,,,
COVID-19 Assessment Centre at PRHC,Peterborough Regional Health Centre,https://www.prhc.on.ca/articles/default-category/207/covid-19-assessment-centre-at-prhc-now-available-by-calling-directly,705-876-5086,,,,,,
Northumberland Hills Hospital,Northumberland Hills Hospital,,905-377-7783,,,,,,
Atikokan Family Health Team,Atikokan Family Health Team,https://atikokanfht.com/,807-597-8781 ext 0,,,,,,
Hearst COVID-19 Assessment Centre,Nord-Aski Family Health Team,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-362-5544,,,,,,
Chapleau Health Services,Chapleau Health Services,https://www.sschs.ca/general/home.html,705-864-2568,,,,,,
NEOMO Medical,NEOMO Medical,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,,,,,
Primacy Medical Centre,Primacy Medical Centre,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,,,,,
Health Sciences North - HSNRI Assessment Centre,Health Sciences North,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,,,,,
Dingwall Medical Clinic Building,Dingwall Medical Clinic Building,http://www.drhc.on.ca/dryden-regional-health-centre-opens/,1-807-223-3737,,,,,,
Elliot Lake Family Health Team,Elliot Lake Family Health Team,http://www.elfht.com/,705-461-8882,,,,,,
Englehart District Hospital,Englehart District Hospital,http://www.timiskaminghu.com/90484/covid-19,705-568-2127,Yes,,,,,
Espanola & Area COVID Mobile Assessment Centre,Espanola Regional Hospital and Health Centre,http://www.espanolaregionalhospital.ca/covid-19,705-869-1420 ext. 4500,,,,,,
Geraldton District Hospital / Greenstone Family Health Team Northern Horizon Health Centre,Geraldton District Hospital,http://www.geraldtondh.com/hospital-triage-area---covid-19,807-854-0224,Yes,,,,,
Hornepayne Community Hospital,Hornepayne Community Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,807-868-2442,,,,,,
Michipicoten Memorial Community Centre,Lady Dunn Health Centre,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-856-2244 ext. 244,,,,,,
Lake of the Woods District Hospital,Lake of the Woods District Hospital,http://www.lwdh.on.ca/,1-807-468-9861 ext 2483,,,,,,
Community Health Services Building,LaVerendrye General Hospital and  Riverside Health Care,https://www.riversidehealthcare.ca/,1-807-274-3261 ext 4913,Yes,,,,,
Manitoulin Health Centre,Manitoulin Health Centre,http://www.mhc.on.ca/covid-19,705-368-2300,,,,,,
Manitoulin Health Centre,Manitoulin Health Centre,http://www.mhc.on.ca/covid-19,705-368-2300,,,,,,
Mattawa Hospital,Mattawa Hospital,https://www.mattawahealth.ca/News/mattawa-assessment-centre,705-744-5511 ext 0,,,,,,
Anson General Hospital site,MICs Group - Anson General Hospital site,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,1-888-962-8718,,,,,,
The Lady Minto Hospital/Boy Scout Hall,MICs Group - The Lady Minto Hospital/Boy Scout Hall,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,1-888-962-8718,,,,,,
Nipigon District Memorial Hospital,Nipigon District Memorial Hospital,https://www.tbdhu.com/coronavirus,807-887-5252,,,,,,
North Bay Regional Health Centre,North Bay Regional Health Centre,,705-474-8600 ext 4110,,,,,,
North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),https://www.tbdhu.com/coronavirus,807-625-5900 or 1-888-294-6630,,,,,,
North Shore Health Network - Blind River,North Shore Health Network - Blind River,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2661,,,,,,
North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2662,,,,,,
Rainy River Health Centre,Rainy River Health Centre,https://www.riversidehealthcare.ca/,1-807-274-3261 ext. 4913,,,,,,
Under Red Lake Pharmacy,Red Lake Hospital,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,1-807-727-7035,,,,,,
Santé Manitouwadge Health,Santé Manitouwadge Health,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,807-826-3251 ext 221,,,,,,
Sault Area Hospital / Kal Tire,Sault Area Hospital,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-759-3434 ext 7152,,,,,,
Sensenbrenner Hospital / Le Centre des Loisirs,Sensenbrenner Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-367-4613,,,,,,
Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,1-807-737-5880,,,,,,
Smooth Rock Falls Hospital,Smooth Rock Falls Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-338-2788,,,,,,
Superior North EMS Community Paramedicine Program,Superior North EMS,https://www.tbdhu.com/coronavirus,807-625-5900,Yes,,,,,
Temiskaming Hospital,Temiskaming Hospital,,705-648-1844,Yes,,,,,
Thunder Bay Assessment Centre,Thunder Bay Regional Health Sciences Centre,https://www.tbdhu.com/coronavirus,807-625-5900,,,,,,
CMHA Cochrane-Temiskaming,Timmins and District Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-267-1993,,,,,,
"Weeneebayko General Hospital, Moose Factory",Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,1-877-658-9242,,,,,,
Fort Albany Hospital,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,,,,,
Attawapiskat Hospital,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,,,,,
Moosonee Health Centre,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,,,,,
Kashechewan Health Services,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,,,,,
Peawanuck Nursing Station,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,,,,,
West Nipissing General Hospital,West Nipissing General Hospital,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-580-2186,,,,,,
West Parry Sound Health Centre,West Parry Sound Health Centre,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-746-4540 ext 5030,,,,,,
"North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ",,807-825-3235,,,,,,
Twin Bridges Nurse Practitioner Clinic,Bluewater Health Sarnia,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,226-776-9030,,,,,,
Brant Community Healthcare System,Brant Community Healthcare System,,519-751-5818,,,,,,
Cambridge Assessment Centre,Cambridge Memorial Hospital,,519-621-2333 ext 2689,,,,,,
Chatham-Kent Health Alliance,Chatham-Kent Health Alliance,,519-352-6400 ext. 6548,,,,,,
Erie Shores Healthcare,Erie Shores Healthcare,,519-326-2373 ext 4263,,,,,,
Goderich Columbus Banquet Hall,Goderich Assessment Centre,https://www.hpph.ca/en/news/coronavirus-covid19-update.aspx#Testing-tracing-and-results-for-COVID-19,1-888-221-2133 ext. 3267,,,,,,
Grand River Hospital COVID-19 Testing Centre,Grand River Hospital,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-749-4300 ext 6824,,,,,,
Grand River Hospital - Drive Thru COVID-19 Assessment Center,Grand River Hospital - Drive Thru COVID-19 Assessment Center,,,Yes,,,,,
Grey Bruce Health Services - Owen Sound,Grey Bruce Health Services - Owen Sound,https://www.sbghc.on.ca/coronavirus/assessment-centres,519-378-1466,,,,,,
Guelph General Hospital / Victoria Road Recreation Centre,Guelph General Hospital,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,,,,,,,
Dave Andreychuk Mountain Arena Assessment Centre,Hamilton Family Health Team,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,Yes,,,,,
Hamilton Health Sciences,Hamilton Health Sciences,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,,,,,,
Hanover and District Hospital,Hanover and District Hospital,https://www.sbghc.on.ca/coronavirus/assessment-centres,,Yes,,,,,
Joseph Brant Hospital,Joseph Brant Hospital,https://www.halton.ca/For-Residents/New-Coronavirus#03,"905-632-3737, ext. 6550",,,,,,
Listowel Wingham Hospitals Alliance,Listowel Wingham Hospitals Alliance,https://lwha.ca/covid-19-up-to-date-information-you-need-to-know/,519-291-4200,,,,,,
Oakridge Arena,London Health Sciences / St. Joseph's Healthcare London / Middlesex PHU,https://www.healthunit.com/covid-19-concerns,,,,,,,
Rural Wellington Assessment Centre / Mount Forest & District Sports Complex,Mount Forest Family Health Team,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,519-323-0255 ext. 5082,,,,,,
Niagara Health Greater Niagara General Site,Niagara Health Greater Niagara General Site,https://www.niagarahealth.on.ca/site/news/2020/03/24/niagara-healths-covid-19-assessment-centres,905-378-4647 ext 42819,,,,,,
Niagara Health St. Catharines Site,Niagara Health St. Catharines Site,https://www.niagarahealth.on.ca/site/news/2020/03/24/niagara-healths-covid-19-assessment-centres,905-378-4647 ext 42819,,,,,,
Rural Lambton Assessment Center,Bluewater Health,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,519-882-2500,,,,,,
Six Nations COVID-19 Assessment & Drive-Through Test Centre,Restricted to Six Nations members and providers only,,,,,,,,
South Bruce Grey Health Centre - Kincardine Campus,South Bruce Grey Health Centre,https://www.sbghc.on.ca/coronavirus/assessment-centres,519-370-2400 ext 4313,,,,,,
South Huron and Grand Bend Assessment Centre,South Huron Hospital Association – Grand Bend and Area CHC,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,519-238-2362,Yes,,,,,
St. Joseph's Healthcare Hamilton - East End,St. Joseph's Healthcare Hamilton - East End,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,,,,,,
Carling Heights Optimist Community Centre,St. Joseph's Healthcare London and London Health Sciences Centre,https://www.healthunit.com/covid-19-concerns,,,,,,,
Kitchener-Waterloo-Wilmot-Wellesley-Woolwich (KW4) Community Assessment Centre - Westmount Plaza,St. Mary's General Hospital and Westmount Place Walk-In Clinic,https://www.smgh.ca/care-services-support/covid-19-updates/,519-954-0111,,,,,,
St. Mary's General Hospital - Bathurst Site,St. Mary's General Hospital Cardiac Rehabilitation Centre,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-885-9517,,,,,,
St. Thomas Elgin General Hospital,St. Thomas Elgin General Hospital,https://www.stegh.on.ca/node/626,519-631-2030 ext. 6210,,,,,,
Tillsonburg District Memorial Hospital,Tillsonburg District Memorial Hospital,,,No,,,,,
West Haldimand General Hospital,West Haldimand General Hospital,https://www.whgh.ca/,905-768-3311 Ext. 1113,,,,,,
Windsor Regional Hospital - Ouellette Campus,Windsor Regional Hospital - Ouellette Campus,https://www.wrh.on.ca/coronavirus,519-254-5577,,,,,,
Woodstock General Hospital,Woodstock General Hospital,https://www.wgh.on.ca/,1-855-905-6148,Yes,,,,,
Stratford General Hospital,Stratford General Hospital,,519-272-8210 ext 2747,,,,,,
Niagara Health - Welland Hospital Site (WHS),Niagara Health,https://www.niagarahealth.on.ca/site/news/2020/05/25/niagara-health-expands-testing-at-assessment-centres,905-378-4647 ext 42819,,,,,,
Killaloe - Killaloe Curling Club/Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,,1-844-727-6404,,,,,,
Royal Victoria Regional Health Centre - Clinic C,Royal Victoria Regional Health Centre,https://www.rvh.on.ca/SitePages/coronavirus.aspx,,,bcfmc.info@bcfht.ca,Barrie and Community main line,,,
